Symbol,Security,GICS Sector,GICS Sub-Industry,Startdatum,Enddatum
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,Aktuell,
NSC,Norfolk Southern Railway,Industrials,Rail Transportation,Aktuell,
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,Aktuell,
NOC,Northrop Grumman,Industrials,Aerospace & Defense,Aktuell,
"NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,""Hotels, Resorts & Cruise Lines"",Aktuell,"
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,Aktuell,
NUE,Nucor,Materials,Steel,Aktuell,
NVDA,Nvidia,Information Technology,Semiconductors,Aktuell,
"NVR,""NVR, Inc."",Consumer Discretionary,Homebuilding,Aktuell,"
NXPI,NXP Semiconductors,Information Technology,Semiconductors,Aktuell,
ORLY,O'Reilly Auto Parts,Consumer Discretionary,Automotive Retail,Aktuell,
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,Aktuell,
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,Aktuell,
OMC,Omnicom Group,Communication Services,Advertising,Aktuell,
ON,ON Semiconductor,Information Technology,Semiconductors,Aktuell,
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,Aktuell,
ORCL,Oracle Corporation,Information Technology,Application Software,Aktuell,
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,Aktuell,
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,Aktuell,
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,Aktuell,
PLTR,Palantir Technologies,Information Technology,Internet Services & Infrastructure,Aktuell,
PANW,Palo Alto Networks,Information Technology,Systems Software,Aktuell,
PARA,Paramount Global,Communication Services,Movies & Entertainment,Aktuell,
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,Aktuell,
PAYX,Paychex,Industrials,Human Resource & Employment Services,Aktuell,
PAYC,Paycom,Industrials,Human Resource & Employment Services,Aktuell,
PYPL,PayPal,Financials,Transaction & Payment Processing Services,Aktuell,
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,Aktuell,
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,Aktuell,
PFE,Pfizer,Health Care,Pharmaceuticals,Aktuell,
PCG,PG&E Corporation,Utilities,Multi-Utilities,Aktuell,
PM,Philip Morris International,Consumer Staples,Tobacco,Aktuell,
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,Aktuell,
PNW,Pinnacle West,Utilities,Multi-Utilities,Aktuell,
PNC,PNC Financial Services,Financials,Diversified Banks,Aktuell,
POOL,Pool Corporation,Consumer Discretionary,Distributors,Aktuell,
PPG,PPG Industries,Materials,Specialty Chemicals,Aktuell,
PPL,PPL Corporation,Utilities,Electric Utilities,Aktuell,
PFG,Principal Financial Group,Financials,Life & Health Insurance,Aktuell,
PG,Procter & Gamble,Consumer Staples,Personal Care Products,Aktuell,
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,Aktuell,
PLD,Prologis,Real Estate,Industrial REITs,Aktuell,
PRU,Prudential Financial,Financials,Life & Health Insurance,Aktuell,
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,Aktuell,
PTC,PTC Inc.,Information Technology,Application Software,Aktuell,
PSA,Public Storage,Real Estate,Self-Storage REITs,Aktuell,
PHM,PulteGroup,Consumer Discretionary,Homebuilding,Aktuell,
QRVO,Qorvo,Information Technology,Semiconductors,Aktuell,
