Datum,Tatsächlich,Vorhergesagt
2023-10-02,4284.5201540822745,4179.984458409308
2023-10-03,4269.7501605444995,4168.853687557275
2023-10-04,4233.829983239266,4111.67229813771
2023-10-05,4259.309914378828,4160.658721090149
2023-10-06,4234.7901993617415,4131.875875709084
2023-10-09,4289.020025534264,4192.8497785642685
2023-10-10,4339.749951688573,4202.613826281886
2023-10-11,4366.589800999354,4243.231577127735
2023-10-12,4380.9400357547565,4239.421155894233
2023-10-13,4360.490405040473,4222.093212506879
2023-10-16,4342.370220674784,4213.045476704574
2023-10-17,4345.230095996667,4259.939552552387
2023-10-18,4357.350093603745,4233.255501083186
2023-10-19,4321.359717730811,4186.025474947091
2023-10-20,4273.8499717917875,4172.413399620418
2023-10-23,4210.399778645369,4109.361475898913
2023-10-24,4235.790170795517,4117.02314814509
2023-10-25,4232.419923233974,4145.043837648263
2023-10-26,4175.9903031695285,4065.8057717324123
2023-10-27,4152.9300736798905,4038.67724871976
2023-10-30,4139.389987700706,4027.0375382518982
2023-10-31,4171.329977848509,4082.6806478333315
2023-11-01,4201.270025128761,4082.4829457447054
2023-11-02,4268.259873604693,4140.635654121434
2023-11-03,4334.230052069179,4215.166118129855
2023-11-06,4364.270024861617,4243.210087770276
2023-11-07,4366.209797528281,4236.229628155561
2023-11-08,4384.370095361228,4252.566554008081
2023-11-09,4391.410008864914,4250.35422465764
2023-11-10,4364.150042615802,4225.626779185113
2023-11-13,4406.6602895419055,4297.541630234773
2023-11-14,4458.9700416254345,4268.783497614786
2023-11-15,4505.299663683982,4391.281430876115
2023-11-16,4497.079984455777,4355.803218022629
2023-11-17,4509.549900433485,4369.129843051051
2023-11-20,4511.700268803252,4373.061679154198
2023-11-21,4538.770054238848,4406.159587513102
2023-11-22,4553.040062059736,4380.944691782206
2023-11-24,4555.839767180732,4421.17670866166
2023-11-27,4554.859852480586,4400.062340489967
2023-11-28,4545.549946517276,4399.485351242183
2023-11-29,4571.839668277098,4408.462888476788
2023-11-30,4554.870239003358,4417.449021454377
2023-12-01,4559.430280656234,4422.541282860329
2023-12-04,4564.369967624225,4453.538248371624
2023-12-05,4557.249827186024,4405.648498961527
2023-12-06,4586.230016499758,4427.705175457813
2023-12-07,4568.839753975772,4410.997916345077
2023-12-08,4576.20021706156,4449.455628610303
2023-12-11,4593.390270405216,4447.906245937484
2023-12-12,4618.299659104232,4467.049681874196
2023-12-13,4646.200366361591,4483.3858914148
2023-12-14,4721.039918961469,4551.3796510400425
2023-12-15,4714.229941582598,4558.733309162635
2023-12-18,4725.579903880716,4564.5021271726
2023-12-19,4743.720144980034,4594.855486427987
2023-12-20,4764.729931612092,4599.1418969292135
2023-12-21,4724.290184277197,4532.772732727899
2023-12-22,4753.920068498119,4591.836948016862
2023-12-26,4758.85975546611,4580.759184246563
2023-12-27,4773.450312869099,4603.977360513527
2023-12-28,4786.439913141367,4598.958521078894
